Task,Method,Silhouette,ARI,Davies-Bouldin,NMI,Purity,Num_Clusters
Easy,Simple VAE,0.3458499312400818,0.0636070483296641,,,,
Medium,K-Means,0.7251078486442566,0.633264174426971,0.5402785898701619,,,
Medium,Agglomerative Clustering,0.7250781059265137,0.630081424714089,0.5401723858926593,,,
Medium,DBSCAN,0.635265588760376,0.001521640937587,0.3430029759634096,,,
Hard,Baseline: PCA + K-Means,0.6804696288748106,0.6460753310321473,,0.6238811959373673,0.902,
Hard,Baseline: Autoencoder + K-Means,0.8078911900520325,0.6720823893092048,,0.6440291373102303,0.91,
Hard,Baseline: Spectral Clustering,0.2327907369196152,0.001521640937587,,0.0355593607274905,0.52,
Hard,Method: Conditional VAE (CVAE),0.0270316172391176,0.0001606404011354,,0.0008402964287031,0.517,
Easy,Simple VAE,0.3545365631580353,0.0586154446380431,,,,
Easy,Simple VAE,0.3128606081008911,0.0175488187177823,,,,
Medium,K-Means,0.7410181760787964,0.1394094350480532,0.426761011525463,,,
Medium,Agglomerative Clustering,0.7410181760787964,0.1394094350480532,0.426761011525463,,,
Hard,Baseline: PCA + K-Means,0.5760179769834536,0.1394094350480532,,0.2338325027468307,0.4335443037974683,
Hard,Baseline: Autoencoder + K-Means,0.8623535633087158,0.1394094350480532,,0.2338325027468307,0.4335443037974683,
Hard,Baseline: Spectral Clustering,0.5760179769834536,0.1394094350480532,,0.2338325027468307,0.4335443037974683,
Hard,Method: Conditional VAE (CVAE),0.0293095503002405,-0.001903038420443,,0.0006030026754152,0.3481012658227848,
Easy,Simple VAE,0.3490858078002929,0.0566578892387006,,,,
Medium,K-Means,0.6990951299667358,0.1394094350480532,0.51716725478295,,,
Medium,Agglomerative Clustering,0.6990951299667358,0.1394094350480532,0.51716725478295,,,
Easy,Simple VAE,0.353221446275711,0.1093413653169808,,,,
Medium,K-Means,0.58869868516922,0.0045303358962516,0.573750997109676,,,
Medium,Agglomerative Clustering,0.709584653377533,0.1394094350480532,0.5189743308923598,,,
Hard,Baseline: PCA + K-Means,0.5760179769834536,0.1394094350480532,,0.2338325027468307,0.4335443037974683,
Hard,Baseline: Autoencoder + K-Means,0.8524425029754639,0.1394094350480532,,0.2338325027468307,0.4335443037974683,
Hard,Baseline: Spectral Clustering,0.5760179769834536,0.1394094350480532,,0.2338325027468307,0.4335443037974683,
Hard,Method: Conditional VAE (CVAE),0.0295696835964918,0.0007402077411538,,0.0034063800380206,0.3575949367088608,
Easy,Simple VAE,0.3230063617229461,0.0120130409946478,,,,
Medium,K-Means,0.69382244348526,0.1327426527442873,0.5740353203656919,,,
Medium,Agglomerative Clustering,0.6920673847198486,0.1394094350480532,0.5499919019128245,,,
Easy,Simple VAE,0.3435819745063782,0.0678174872334554,,,,
Medium,K-Means,0.7142229080200195,0.1394094350480532,0.4959028702740755,,,
Medium,Agglomerative Clustering,0.7142229080200195,0.1394094350480532,0.4959028702740755,,,
Easy,Simple VAE,0.3603219985961914,0.0406868394252531,,,,
Medium,K-Means,0.3380308747291565,0.1394094350480532,1.3058613576809717,,,
Medium,Agglomerative Clustering,0.3380308747291565,0.1394094350480532,1.3058613576809717,,,
Medium,DBSCAN,0.3362965285778045,-0.001801495221212,1.9006992024197795,,,
Easy,Simple VAE,0.3546484708786011,0.0797608385071081,,,,
Medium,K-Means,0.5558988451957703,0.0040903592479785,0.6784755720873538,,,
Medium,Agglomerative Clustering,0.7193767428398132,0.1394094350480532,0.4843162880649033,,,
Easy,Simple VAE,0.3452094197273254,0.056686336034782,,,,
Medium,K-Means,0.6993702054023743,0.1394094350480532,0.5270832118185442,,,
Medium,Agglomerative Clustering,0.6993702054023743,0.1394094350480532,0.5270832118185442,,,
Easy,Simple VAE,0.1410789042711258,0.2036640105126488,,,,
Hard,Direct Spectral (Raw),0.1408970355987548,0.2907662474101712,,0.1559980767329901,0.8220338983050848,
Hard,PCA + K-Means,0.1730943918228149,0.285924520245078,,0.1514109265827188,0.8202497769848349,
Hard,Autoencoder + K-Means,0.2633025646209717,-0.0708994174132926,,0.0803804890028362,0.7769848349687779,
Hard,Conditional VAE (Proposed),0.2593435645103454,-0.0023860997900321,,0.0032653052837451,0.7769848349687779,
Hard,Baseline: PCA + K-Means,0.5760179769834536,0.1394094350480532,,0.2338325027468307,0.4335443037974683,
Hard,Baseline: Autoencoder + K-Means,0.8694151639938354,0.1394094350480532,,0.2338325027468307,0.4335443037974683,
Hard,Baseline: Spectral Clustering,0.5760179769834536,0.1394094350480532,,0.2338325027468307,0.4335443037974683,
Hard,Method: Conditional VAE (CVAE),0.0299651511013507,-0.0009133128051757,,0.0044529172302131,0.3591772151898734,
Hard,Baseline: PCA + K-Means,0.1192539490347318,0.1013686729670497,,0.184328534619926,0.490506329113924,
Hard,Baseline: Autoencoder + K-Means,0.4267406165599823,0.0974221692965945,,0.1803574652769318,0.4715189873417721,
Hard,Baseline: Spectral Clustering,0.4153957666320875,0.1089412475269982,,0.1962092048297466,0.4335443037974683,
Hard,Method: Conditional VAE (CVAE),0.0250104833394289,0.0016929550766031,,0.008261965749763,0.360759493670886,
Unsupervised,Beta-VAE (Bangla),0.2926419675350189,0.0281999832915016,,,,6.0
Unsupervised,Beta-VAE (Bangla),0.3110239803791046,0.0361662352094307,,,,5.0
Cross-Domain,Beta-VAE (Merged),0.3188732862472534,0.0276975323592697,,,,16.0
Disentanglement,CVAE (Bangla),0.14608195424079895,0.06628342408779961,,,,6.0
